Rez.Descriere, Rez.Pret euro ,Rez.Stare,Rez.Suprafata
"191002-Vanzare Apartamente In Bloc Nou, Zona Kauffland Marasti, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",146250.00 ,Dec.,65 mp
"191007-Vanzare Apartament 2 Camere, Gruia, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gruia",90000.00 ,Semidec.,40 mp
"191010-Vanzare Apartament 4 Camere, Marasti, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",189000.00 ,Dec.,80 mp
"191012-Vanzare Apartament 1 Camera, Manastur, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",89900.00 ,Dec.,40 mp
"191020-Vanzare Apartamente In Bloc Nou, D. Rotund, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",98752.00 ,Semidec.,57 mp
"191027-Vanzare Apartament 4 Camere,Marasti, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",160000.00 ,Dec.,77 mp
"191069-Vanzare Apartament 3 Camere, Someseni, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Someşeni",115000.00 ,Dec.,70 mp
"191084-Vanzare apartament 3 camere, bloc nou, Marasti, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",180000.00 ,Dec.,65 mp
"191150-Vanzare Apartament Cu 3 Camere, Central, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",250000.00 ,Dec.,100 mp
"191354-Vanzare Apartament 2 Camere, Manastur, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",90000.00 ,Dec.,52 mp
"191450-Vanzare Apartament 3 Camere, Grigorescu, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",160000.00 ,Dec.,67 mp
"191551-Vanzare Apartament 3 Camere, Gruia, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gruia",107100.00 ,Dec.,60 mp
"192191-Vanzare Apartament 3 Camere, Zona Semicentrala, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",196000.00 ,Semidec.,98 mp
"192226-Vanzare apartament 3 camere, Zona Semicentrala, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",420000.00 ,Semidec.,150 mp
"192658-Vanzare apartamente in bloc nou Iris Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",152500.00 ,Dec.,57 mp
"192673-Vanzare Apartament 2 Camere , Bloc Nou, Zona Iulius Mall, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",150000.00 ,Semidec.,53 mp
"192717-Vanzare apartament 1 camera, Manastur, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",79000.00 ,Dec.,35 mp
